dataset,detector,ROC-AUC,PR-AUC,AvgPrec,Precision,Recall,F1,RangePrec,RangeRec,RangeF1,RangePR-AUC,RangePR-VUS,RangeROC-VUS,time_sec
KDD-TSAD-114_UCR_Anomaly_CIMIS44AirTemperature2,TinyTimeMixer,0.8955822589686103,0.12259295554377984,0.1309493411879016,0.02510460251046025,0.75,0.048582995951417005,0.007355787843592722,0.35763888888888895,0.014415091282073947,0.022555072093561866,0.018406280709075264,0.5755828161703752,5.768697272
KDD-TSAD-143_UCR_Anomaly_InternalBleeding8,TinyTimeMixer,0.34504878175279624,0.01148904366140814,0.011634169405657795,0.0,0.0,0.0,0.0,0.0,0.0,0.013167221357144581,0.028330213236776137,0.4513507429254883,5.159163687
KDD-TSAD-189_UCR_Anomaly_resperation3,TinyTimeMixer,0.11281766494777201,2.9807147754031415e-6,5.961429550806283e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.3986118138190636e-11,0.0006780414970552354,0.4353465519140697,157.216030522
MITDB-115,TinyTimeMixer,0.697257561170255,0.008222699751731233,0.008269361222396118,0.012743073746494499,0.4725714285714286,0.02481694874564878,0.006457835911277207,0.04524871855641899,0.01130258253102036,0.0016280644834820493,0.0019115729405494726,0.662856129018988,651.53082012
SMD-machine-1-2,TinyTimeMixer,0.8292974388529579,0.16449939226639115,0.16517025412381145,0.1009700176366843,0.4225092250922509,0.16298932384341638,0.06433320607489883,0.17400341536819497,0.09393602637176826,0.04473164169367917,0.05489918398707617,0.6364096728703849,107.924091858
SMD-machine-3-5,TinyTimeMixer,0.7264468742222941,0.1794431646882782,0.1799220430866684,0.07407407407407407,0.39436619718309857,0.12472160356347439,0.03370436757703465,0.19154003089059868,0.05732205240860603,0.03816694874845285,0.08239746377809998,0.5542207565441772,108.089511596
SVDB-820,TinyTimeMixer,0.5716444912446523,0.11530373026004254,0.11531917254502555,0.09748016392013253,0.09834190966266437,0.09790914066776135,0.11721351445489377,0.005940975006012035,0.01130876450857129,0.05778692798482898,0.13883720006889963,0.5277843452811047,224.461401076
SVDB-827,TinyTimeMixer,0.5170239265299268,0.011432386521187818,0.011448234784863997,0.009721858924056151,0.0871434153966393,0.01749225399066557,0.010892116182572614,0.004671105219635893,0.006538263440250951,0.006785117529400621,0.01342235610019653,0.5115620002335101,233.031397072
CoMuT-ts_0,KMeans,0.7432652125165592,0.00817847844753983,0.008508227333879828,0.010141987829614604,0.25,0.01949317738791423,0.0010953502382386768,0.0625,0.002152968405188654,0.001239750949783412,0.014684693585326676,0.5956834196077992,0.0540532
Exathlon-5_1_100000_63-64,KMeans,0.8702691978300419,0.49551009793196504,0.4955503406648052,0.4090379687863965,0.32297222733124886,0.36094552929085305,0.4283299120192624,0.09332542199257587,0.15325854902629407,0.2376874464125864,0.23437526232329972,0.8511988468848287,1.3935446040000001
GutenTAG-cbf-position-end,KMeans,0.9419505691723926,0.08505501051799488,0.08657690804168752,0.07707910750507099,0.76,0.13996316758747698,0.05555555555555555,0.5776,0.1013617857644251,0.06176534809638509,0.03682368279173879,0.7403011914865467,0.031522884
